x__,X__,Y__,x___1,x____,x_____1,x_____,amplitude_1,phase_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1100,4736.616525,127.614697,0.28058799,5.697922946,0.233888939555204-0.155001883343672i,0.000137766,-2.278481051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1600,3971.694754,304.8605453,0.298131896,1.307495716,0.077594437743271+0.287857135962311i,5.15E-05,-0.503858313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1500,4303.013945,244.8558246,0.28590776,6.128637747,0.282500104484841-0.0440106586383123i,0.000115001,0.054196158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1700,1948.147522,198.3789326,0.287956533,0.668952304,0.225893791158385+0.178580401726374i,0.000149853,-2.869157324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1800,1158.353563,306.5283071,0.155236371,4.781360474,0.0106983975396085-0.1548672827725i,2.09E-05,-2.918355899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1600,2888.538829,257.3051085,0.216912123,5.527229225,0.157828735397817-0.148798385367901i,4.85E-05,-0.543084292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1200,3295.150831,275.2508276,0.224536705,4.084919055,-0.131825163473653-0.18176594278582i,6.65E-05,1.818304559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1300,1985.423451,75.70541624,1,4.964206524,0.249164590513215-0.968461154014131i,0.002325355,-1.460759906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1800,646.9075041,92.71054693,0.16436922,4.103121614,-0.0940630484268625-0.134793855305009i,7.23E-06,-0.606975578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1400,2616.045765,299.6655003,0.180317094,1.077973799,0.0853106172015603+0.158859538551488i,5.08E-05,1.700374069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1600,3924.613173,135.3699526,0.131964872,4.623491181,-0.0117159409831264-0.131443767842675i,2.21E-05,-0.425968187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
